"Province","Lag_Numeric","Lag_Description","RR","Lower","Upper"
"Phra Nakhon Si Ayutthaya",4,"Lag 4","1.0044","0.9761","1.0336"
"Phrae",4,"Lag 4","1.0119","0.9866","1.0377"
"Phuket",4,"Lag 4","0.9932","0.9071","1.0876"
"Prachin Buri",4,"Lag 4","0.9772","0.9463","1.009"
"Prachuap Khiri Khan",4,"Lag 4","1.054","0.9807","1.1328"
"Ratchaburi",4,"Lag 4","0.9879","0.9672","1.009"
"Rayong",4,"Lag 4","0.9835","0.9497","1.0184"
"Sa Kaeo",4,"Lag 4","1.0011","0.9622","1.0416"
"Sakon Nakhon",4,"Lag 4","1.0183","0.9742","1.0643"
"Samut Prakan",4,"Lag 4","0.9864","0.963","1.0105"
"Samut Songkhram",4,"Lag 4","1.0639","1.0089","1.1219"
"Satun",4,"Lag 4","1.0459","0.9709","1.1267"
"Songkhla",4,"Lag 4","1.0079","0.9675","1.0501"
"Sukhothai",4,"Lag 4","0.9961","0.9626","1.0309"
"Suphan Buri",4,"Lag 4","1.0524","1.0179","1.0881"
"Surat Thani",4,"Lag 4","1.0251","0.9813","1.0709"
"Tak",4,"Lag 4","1.0061","0.9727","1.0406"
"Trang",4,"Lag 4","0.9077","0.7986","1.0317"
"Trat",4,"Lag 4","1.012","0.9009","1.1368"
"Ubon Ratchathani",4,"Lag 4","0.9976","0.9826","1.0128"
"Udon Thani",4,"Lag 4","1.0174","0.9867","1.049"
"Uthai Thani",4,"Lag 4","0.9936","0.9282","1.0636"
"Uttaradit",4,"Lag 4","0.9783","0.9171","1.0436"
"Yala",4,"Lag 4","0.9384","0.8868","0.993"
"Bangkok",0,"cumulative_Lag 0","1.0108","0.9975","1.0244"
"Buri Ram",0,"cumulative_Lag 0","1.0324","0.9903","1.0763"
"Chachoengsao",0,"cumulative_Lag 0","1.0333","1.0006","1.067"
"Chanthaburi",0,"cumulative_Lag 0","0.9869","0.8876","1.0973"
"Chiang Mai",0,"cumulative_Lag 0","1.0045","0.9911","1.018"
"Chiang Rai",0,"cumulative_Lag 0","0.9912","0.9805","1.002"
"Chon Buri",0,"cumulative_Lag 0","1.0204","0.9952","1.0462"
"Kamphaeng Phet",0,"cumulative_Lag 0","1.019","0.9673","1.0734"
"Kanchanaburi",0,"cumulative_Lag 0","1.0192","0.9926","1.0464"
"Khon Kaen",0,"cumulative_Lag 0","1.0264","1.0098","1.0433"
"Lampang",0,"cumulative_Lag 0","0.997","0.9753","1.0193"
"Lamphun",0,"cumulative_Lag 0","1.001","0.9731","1.0297"
"Loei",0,"cumulative_Lag 0","1.0149","0.992","1.0383"
"Lop Buri",0,"cumulative_Lag 0","1.1023","1.0499","1.1573"
"Mae Hong Son",0,"cumulative_Lag 0","1.0076","0.9825","1.0333"
"Mukdahan",0,"cumulative_Lag 0","1.0541","0.9365","1.1864"
"Nakhon Pathom",0,"cumulative_Lag 0","1.0036","0.9748","1.0332"
"Nakhon Phanom",0,"cumulative_Lag 0","1.0173","0.9945","1.0406"
"Nakhon Ratchasima",0,"cumulative_Lag 0","1.0319","1.0124","1.0516"
"Nakhon Sawan",0,"cumulative_Lag 0","0.9999","0.9739","1.0265"
"Nakhon Si Thammarat",0,"cumulative_Lag 0","1.0192","0.9666","1.0747"
"Nan",0,"cumulative_Lag 0","0.9994","0.9754","1.0239"
"Narathiwat",0,"cumulative_Lag 0","0.9844","0.9377","1.0334"
"Nong Khai",0,"cumulative_Lag 0","1.0197","0.9975","1.0424"
"Pathum Thani",0,"cumulative_Lag 0","0.9765","0.9467","1.0072"
"Phayao",0,"cumulative_Lag 0","0.9887","0.9653","1.0127"
"Phetchabun",0,"cumulative_Lag 0","1.0103","0.9597","1.0636"
"Phichit",0,"cumulative_Lag 0","0.9601","0.9019","1.0221"
"Phitsanulok",0,"cumulative_Lag 0","1.0311","1.0071","1.0558"
"Phra Nakhon Si Ayutthaya",0,"cumulative_Lag 0","1.0049","0.9757","1.0351"
"Phrae",0,"cumulative_Lag 0","0.9925","0.9672","1.0186"
"Phuket",0,"cumulative_Lag 0","0.9753","0.8878","1.0714"
"Prachin Buri",0,"cumulative_Lag 0","1.0059","0.9744","1.0385"
"Prachuap Khiri Khan",0,"cumulative_Lag 0","1.0528","0.983","1.1275"
"Ratchaburi",0,"cumulative_Lag 0","1.0212","0.9997","1.0431"
